hidden_size,output_size,num_layers,learning_rate,batch_size,num_simulations,mse,posterior_mean,posterior_std,squared_errors
64,16,1,0.0001,64,1000,0.14448539912700653,"[-1.0161913633346558, -1.0028619766235352, -1.0089112520217896, -35.35282897949219, 0.01618877984583378, -0.012949585914611816, -0.7361993789672852, -1.0202494859695435]","[0.46419262886047363, 0.4698902368545532, 0.4661625325679779, 7.562662124633789, 0.4672626554965973, 0.4719153344631195, 0.3451918661594391, 0.46071749925613403]","[0.08625460416078568, 0.10532490909099579, 0.021818621084094048, 0.8639146089553833, 0.00841094832867384, 0.013959324918687344, 0.055790144950151443, 0.0004100416845176369]"
64,16,1,0.0001,128,1000,0.032587599009275436,"[-1.011894702911377, -1.0099070072174072, -1.0078309774398804, -36.17802810668945, 0.05310817062854767, 0.0014005601406097412, -0.6725600957870483, -0.9850603938102722]","[0.47204500436782837, 0.47009193897247314, 0.5156553387641907, 1.0771827697753906, 0.45953941345214844, 0.19399234652519226, 0.36219924688339233, 0.4561721086502075]","[0.08374927937984467, 0.10080178081989288, 0.02150065079331398, 0.010872428305447102, 0.003002144629135728, 0.010774323716759682, 0.029776986688375473, 0.00022319183335639536]"
64,16,1,0.0001,256,1000,0.14768561720848083,"[-1.0135899782180786, -1.013381838798523, -1.0061475038528442, -35.335453033447266, 0.005608599167317152, -0.017132848501205444, -0.7345250844955444, -1.013649582862854]","[0.46597355604171753, 0.47153425216674805, 0.4667837917804718, 7.078733444213867, 0.46713414788246155, 0.4670564830303192, 0.3481108844280243, 0.459624320268631]","[0.08473335951566696, 0.0986073836684227, 0.021009786054491997, 0.8965173363685608, 0.010463531129062176, 0.014965325593948364, 0.055002015084028244, 0.00018631111015565693]"
64,16,1,0.0005,64,1000,0.0394885390996933,"[-1.0176869630813599, -0.9813410043716431, -1.0251737833023071, -36.22798156738281, 0.0014698827872052789, -0.04032227396965027, -0.7158580422401428, -0.9910796284675598]","[0.4647107422351837, 0.47443005442619324, 0.5138948559761047, 1.13242506980896, 0.46267053484916687, 0.2388833463191986, 0.3856055736541748, 0.4560241401195526]","[0.08713532984256744, 0.11975681036710739, 0.026887409389019012, 0.0029503880068659782, 0.011327371001243591, 0.02117672935128212, 0.04659469425678253, 7.95730302343145e-05]"
64,16,1,0.0005,128,1000,0.05383438616991043,"[-1.0178035497665405, -0.9862829446792603, -1.0529756546020508, -35.92306900024414, 0.02521474100649357, -0.01594437099993229, -0.6966153383255005, -0.9665998220443726]","[0.467619925737381, 0.46849000453948975, 0.5064634680747986, 1.1499947309494019, 0.4639817476272583, 0.22791890799999237, 0.3886488080024719, 0.4537571668624878]","[0.08720417320728302, 0.11636082082986832, 0.036777909845113754, 0.1290462166070938, 0.00683685252442956, 0.014675958082079887, 0.03865759074687958, 0.00111557194031775]"
64,16,1,0.0005,256,1000,0.04307197034358978,"[-1.0152004957199097, -0.988271951675415, -1.0304455757141113, -36.085723876953125, 0.029474662616848946, -0.0027251325082033873, -0.7410809993743896, -1.0262703895568848]","[0.46808815002441406, 0.4653724431991577, 0.4882895052433014, 1.0555552244186401, 0.4651552140712738, 0.45871368050575256, 0.34207019209861755, 0.4533059000968933]","[0.08567356318235397, 0.11500781029462814, 0.028644073754549026, 0.0386417955160141, 0.00615053391084075, 0.011647834442555904, 0.05812004953622818, 0.0006901333690620959]"
64,16,1,0.001,64,1000,0.05553745478391647,"[-1.0083487033843994, -0.9839593172073364, -1.022762656211853, -35.90359115600586, 0.036219146102666855, -0.04209275543689728, -0.7197117209434509, -0.9968463182449341]","[0.46732744574546814, 0.46887296438217163, 0.49130937457084656, 1.0934158563613892, 0.46324774622917175, 0.24703647196292877, 0.3777616620063782, 0.45121800899505615]","[0.08170946687459946, 0.11795148253440857, 0.026102500036358833, 0.14341966807842255, 0.0051381452940404415, 0.021695157513022423, 0.0482732392847538, 9.945708370651118e-06]"
64,16,1,0.001,128,1000,0.03842473402619362,"[-0.9986351728439331, -0.9949225187301636, -1.0238425731658936, -36.20682144165039, 0.025952892377972603, -0.026061343029141426, -0.752260148525238, -1.0296047925949097]","[0.4650591313838959, 0.4701572358608246, 0.5018859505653381, 1.1576305627822876, 0.4637906849384308, 0.22538995742797852, 0.3911735415458679, 0.44911229610443115]","[0.07625062018632889, 0.11054125428199768, 0.02645261399447918, 0.005696868058294058, 0.006715328898280859, 0.017229542136192322, 0.06363518536090851, 0.0008764437516219914]"
64,16,1,0.001,256,1000,0.04623008519411087,"[-1.005327582359314, -0.9984554648399353, -1.024631142616272, -36.01066207885742, 0.02293810248374939, -0.01909860037267208, -0.7413554787635803, -1.01507568359375]","[0.4696238338947296, 0.4682893753051758, 0.4995216727256775, 1.1216588020324707, 0.4638918936252594, 0.23550839722156525, 0.37144261598587036, 0.44382280111312866]","[0.0799914300441742, 0.10820448398590088, 0.026709746569395065, 0.07378663867712021, 0.007218524347990751, 0.015450142323970795, 0.05825246870517731, 0.00022727623581886292]"
64,16,2,0.0001,64,1000,0.1296457052230835,"[-0.9980692267417908, -1.0035820007324219, -1.0055561065673828, -35.41549301147461, -0.0009708463912829757, -0.017449956387281418, -0.7381951808929443, -1.0233463048934937]","[0.46952491998672485, 0.47025254368782043, 0.4708124101161957, 7.000602722167969, 0.4665510654449463, 0.46406346559524536, 0.34862175583839417, 0.46109843254089355]","[0.075938381254673, 0.10485807806253433, 0.020838692784309387, 0.7513526678085327, 0.011852861382067204, 0.01504301093518734, 0.05673694238066673, 0.0005450499593280256]"
