m,k,b
10.44199,6.743208,1.8204414
10.868157,5.551101,2.151461
6.2006035,5.19578,2.912819
7.2700524,2.2646828,1.3591454
12.01204,4.585253,1.2074131
7.472446,2.2393022,2.3015687
10.8164,2.506246,2.2778568
8.487142,3.5771096,2.0563192
10.751795,5.68883,2.242563
11.316436,5.756675,1.959235
11.694339,3.7020617,1.1367335
7.7453814,3.082128,2.252457
7.785113,6.036163,2.5731108
13.2844715,5.367799,2.0638804
10.795419,4.582392,2.71813
14.700696,3.4757462,1.2934899
8.842323,4.2687826,2.0310345
8.439391,5.7892313,2.7381668
10.086051,5.250389,2.1625173
9.535785,4.777868,2.3415077
8.5141115,5.344077,1.7298266
7.5924606,6.5984044,1.5389254
7.75627,6.2978034,1.3788368
10.774407,6.2314696,2.067333
11.880641,6.1698256,2.041005
5.505645,5.9976835,2.373761
12.016292,5.1385026,1.9108204
10.419151,4.466377,2.068142
6.999505,5.0600324,1.6479217
11.23243,4.1193447,1.8461506
7.2540345,5.77007,2.6685417
9.781796,4.613309,2.1984222
9.081772,3.3295956,2.168129
7.5403633,5.020286,1.8225027
11.682767,4.9249797,2.1024187
9.816799,3.9329317,2.380731
9.500412,3.9106836,2.6936073
7.1962566,5.766623,2.3088806
9.288688,3.6313317,1.5589746
11.289514,4.2591195,2.228434
14.487441,6.2438745,2.469857
11.772391,6.531461,1.7887851
7.1076427,5.784072,2.1832192
5.1342955,5.4439063,1.2839384
14.428024,3.5764458,1.799136
10.766442,5.9125237,2.0149689
8.701374,4.1698947,1.152254
13.449948,4.5104246,2.450865
10.723955,2.9132323,2.9410183
9.012357,6.1578546,1.3284744
9.170238,5.3370085,2.4283175
13.039894,4.611273,2.0002675
9.286148,5.4774847,1.0824488
7.4683523,4.104103,1.3367794
5.920631,6.019907,2.9233916
13.997245,5.7350497,1.5653862
7.146417,4.0494165,1.0551054
9.702643,4.0104933,2.607138
12.594922,3.4787698,1.421536
9.962498,3.692793,1.88434
13.993321,5.3914814,1.3868687
9.278156,5.3952107,1.4939988
11.004196,5.2072835,1.3456217
9.937981,2.6485567,1.8750556
9.08609,2.6996248,1.70633
11.831219,3.6291337,2.7680445
8.30956,5.555386,1.7857733
12.1426935,4.0272455,1.2538255
9.63735,4.44235,1.8345819
11.592121,2.7452073,2.2815342
10.27404,2.5134323,1.0922637
9.072047,5.0555544,1.7242734
5.7119536,4.4321227,1.4887773
8.49737,2.6198654,1.076949
7.334981,3.40151,2.0057094
8.808841,6.5733385,1.8330458
8.056422,6.0790086,2.030604
5.935198,3.7288675,2.5165293
8.472727,4.614504,2.1277199
11.191403,4.519323,2.252503
14.091333,4.9637637,1.499823
7.047996,5.1524177,1.5735213
10.372024,2.4395735,1.8631575
8.828564,5.5252132,1.9838793
6.8945656,6.095323,2.6764357
9.064699,2.6358461,1.0111618
7.807098,4.691213,2.0762649
11.427367,3.9947152,2.2023525
10.700985,6.587796,1.8733884
8.111863,3.9561088,2.4007876
8.27979,4.960304,1.8140385
7.750515,5.0776515,1.868307
6.8013735,6.255633,2.861921
7.101866,4.7042937,1.9459367
8.303712,4.5994806,2.163813
13.71664,3.3911078,2.5414762
10.7683115,3.2089825,1.1354442
14.651634,2.7495077,1.1776761
8.916831,4.8557267,1.9230334
8.237556,4.110749,1.6940664
13.379117,3.6510427,1.7533599
6.367867,4.649136,2.3651323
10.922147,3.6101632,1.8627772
5.830286,5.375031,2.5402882
5.1731434,2.0973587,1.4086004
7.2503166,4.342511,2.632554
11.648615,3.2704873,2.7438831
10.53306,5.9066544,2.2992494
9.409312,4.819429,1.7714233
12.806273,5.426939,2.2704928
13.241527,4.031949,1.7202637
14.460194,2.734793,1.4556843
13.417255,2.9886773,2.2106647
13.021127,2.9772851,2.8511596
6.662506,3.1188097,1.194469
10.602931,5.352652,1.9319037
8.653912,6.2083545,2.6553423
10.86895,3.6936114,1.8472192
6.2676435,4.4356365,2.8637295
9.91086,6.042571,2.0876842
8.31009,3.4899328,2.6665046
8.741278,4.884361,2.6564467
7.1740975,6.8174076,2.09813
11.710352,3.4937012,2.2381408
9.450331,5.089599,2.0051038
9.549512,5.559016,2.5030499
11.6326275,4.786439,2.5016139
12.41297,4.4710755,1.627916
10.868146,4.717294,2.3848343
14.337774,2.492764,2.223914
10.726845,5.3621445,1.32019
12.948014,4.5979543,1.1431483
9.9782915,3.6058426,2.2329519
12.790181,3.329989,1.5589664
7.4358997,4.7252283,1.6934749
8.856975,4.225079,2.4223833
13.455029,2.1272032,1.9683124
8.416909,3.295974,1.3947943
11.945202,5.974709,1.89297
14.553466,2.6175742,1.488438
9.534229,6.284879,1.5924395
10.190925,4.185089,2.1746418
10.978793,5.4263678,1.7416562
14.122665,4.9929543,2.8702588
5.8980055,5.6478233,2.934839
13.977997,3.9141586,1.2039064
10.50998,5.12621,2.5687058
12.0791235,3.7207732,1.8954549
6.177114,5.102903,2.8674345
9.397181,5.3254437,2.4055507
13.474941,4.799935,1.6781983
9.947393,5.3235583,2.3896341
13.10782,4.0621076,2.3197765
9.780451,5.3240814,1.6722637
11.069368,2.1596546,2.0370293
9.386452,6.82958,1.5514886
7.2314506,4.2826247,2.0079286
10.032661,5.2489476,2.4472516
11.055541,5.207022,1.2952094
11.480347,4.522561,2.0273252
11.919834,3.491244,1.8832964
10.046698,4.789173,2.1199722
7.7054863,6.048077,2.106299
7.062108,4.0827365,1.5390567
9.294172,2.040636,2.031166
10.114262,4.178307,1.9775563
10.805319,3.581757,1.4919167
9.429018,3.941764,1.881211
8.426074,4.587492,1.3936205
8.895834,3.5379214,1.7616022
11.268268,2.3256783,1.4663887
13.114553,2.452016,1.8259159
10.245218,5.556901,2.0952766
10.627493,3.0262642,2.5169675
8.5344305,2.1445441,1.4781659
7.6794314,2.5930085,2.441772
9.252754,5.0727925,1.7800511
13.782971,5.101807,1.789751
6.225725,5.8299975,2.31959
11.412635,4.3480763,1.4080738
13.588071,3.847159,1.6793464
10.131868,3.964938,2.7421544
9.799914,3.8387818,2.2692227
8.0425205,2.4008212,2.2025635
14.503423,3.2600074,1.8432188
11.000944,6.3148527,2.359938
7.528807,3.7498715,2.101055
8.0753,5.080169,1.7038021
6.9373245,5.427783,2.3591208
7.5491953,5.24995,2.8467884
13.01226,4.748079,2.4916933
12.861016,5.452182,2.3317044
10.771422,5.5471263,1.2048383
9.161654,3.805316,2.3598127
7.0563674,2.2214065,2.8385217
9.423325,5.7426085,2.3088768
7.895131,6.0109878,2.0045009
5.307148,4.1622114,1.4239668
7.746385,3.963624,1.9605254
10.714127,4.6916504,2.2219524
5.418908,5.0441713,1.3799323
12.336695,3.1135693,1.9286916
6.5671773,3.7672565,2.7319117
6.682579,3.5416446,1.2050121
11.639729,5.706203,2.1568463
9.44459,3.7713268,2.1846042
10.855349,4.2069106,2.6740093
9.661312,4.719268,1.6752747
10.210784,4.6375284,1.3873084
8.724203,4.789442,2.593319
11.175973,3.1225042,1.5883882
6.3861585,4.9482327,2.0354035
6.1127734,3.7547123,2.108056
8.906066,5.321157,2.7766101
7.6075373,3.5884597,1.8655559
9.848579,3.0979218,1.411433
8.901168,3.0754988,1.6592104
10.983974,4.554246,2.396646
12.119377,4.580216,1.155664
12.687918,5.5160046,1.4063472
14.08004,5.68601,1.748766
8.489745,3.2652993,1.6141937
11.710221,3.38341,1.8364983
9.903632,4.788321,1.7495699
10.650351,5.1517153,1.4993483
12.284519,2.9504695,2.332729
11.880799,6.844827,1.6419793
7.8784256,4.191101,2.6117082
7.4483852,3.8721213,1.8478702
11.286555,2.384091,2.37733
8.289472,5.0788207,1.628264
13.920996,5.661743,2.0779028
13.388318,6.939153,2.2343402
11.496984,6.1014366,2.5984876
9.157914,3.7682643,1.8576331
11.293783,2.5604134,1.8786439
11.364707,3.8090715,1.5161294
7.098612,4.2269564,2.2632468
11.320929,3.4095416,2.284847
6.3625865,6.2736692,2.8563726
14.439873,5.6953397,2.3416362
8.227931,5.2202735,1.7975268
9.340818,2.4217439,1.9980375
8.196116,4.4913654,2.7049181
11.123233,5.166655,2.4803638
6.932627,3.8024125,1.1394207
7.7342005,5.4633875,1.5956208
13.667869,6.161322,2.0763052
13.876625,4.4472213,2.7116094
12.043595,5.6721034,1.9230082
8.687297,5.037676,1.561537
9.394713,4.800106,1.8149557
12.542137,4.8772874,1.207793
13.672566,3.4775183,1.2344915
10.378132,6.2752934,1.2878786
11.637195,3.840964,1.7685382
11.219338,3.433828,1.8585572
13.416242,4.8356695,2.4926262
7.624269,3.7836742,1.7335001
12.437867,6.8881803,2.753767
11.284242,4.894368,2.766078
8.660078,3.7541301,2.753818
14.21447,3.5429437,2.2783933
13.339194,5.0744305,1.3448583
8.692866,5.6564646,2.3444388
10.663339,4.049841,2.115147
9.187868,5.7522616,1.6574584
9.78389,3.9404738,1.6643379
12.83129,4.7469893,1.780659
13.13171,3.9224157,2.0267217
11.415602,5.123932,1.8575542
11.296436,2.8740184,1.8663273
9.076042,4.1309977,1.4254837
9.731858,3.856245,1.5766245
7.698147,4.8790255,2.9729342
11.245435,6.756748,1.5958345
11.163617,5.590965,1.6989064
6.947041,6.4032373,2.2435021
7.7732835,4.2475734,2.526953
9.447853,2.7717414,1.9183093
12.523303,5.9444723,1.9341216
10.200318,2.572533,2.326601
10.591131,3.7657,2.246401
7.1134534,3.8535423,2.208035
14.000136,3.8187556,1.9561405
9.903137,6.329946,1.7591727
14.214345,4.4093323,2.2112815
9.277558,4.9822264,1.9618309
9.826589,4.7286806,2.7097852
9.736322,5.968788,1.8130444
8.35564,3.6456058,2.2504609
10.269911,5.8000646,2.4294133
7.1482143,2.7932813,1.7882229
12.534554,3.3396041,2.2112412
7.3971353,6.559055,1.4665343
7.288012,3.2834313,1.9458002
9.529737,3.656144,1.321805
7.000328,3.7238975,1.0363836
9.1106615,3.8676012,1.9002656
11.124861,2.0197926,1.8761451
10.370465,6.0430136,1.4651419
11.602457,2.172757,1.6720854
8.015083,5.6982155,1.9840158
13.760971,4.625059,1.3894291
11.360124,6.0683427,1.757733
12.149453,6.1917014,2.8294156
6.2467623,6.794438,2.0381322
8.883371,4.9050465,2.926042
9.071369,5.531917,1.4896746
9.245391,5.0506124,1.5714781
8.88029,3.7670794,2.666337
10.387836,6.3327136,1.583569
8.745819,3.2437809,2.6412902
7.1319833,2.553647,1.2563331
7.199091,4.199127,2.6678207
11.746232,3.1269708,1.5381395
8.958797,3.725669,1.5264424
10.014625,4.623624,1.9741344
12.338213,2.5247166,2.0758092
9.131212,3.8733995,1.6914313
11.533343,4.757169,1.7271727
10.301738,4.791319,1.8526938
10.261592,4.3738537,1.205341
12.478028,2.4779682,2.7519147
9.639348,6.5940323,1.7831761
10.36818,4.1904726,1.526908
5.4726844,4.1990557,2.3049755
7.505135,3.4600198,1.722863
9.405567,4.032622,2.5559013
8.915078,2.5498507,2.3047302
10.448512,4.605189,1.7307163
5.6023045,4.2935963,2.1037874
11.027691,4.7482452,2.104722
7.579309,5.3175645,1.2491975
7.681732,4.5730767,1.35827
5.4305525,4.1596003,2.8802073
11.43605,5.0572734,2.085566
10.575032,3.5012934,1.5991906
6.746979,4.4500427,2.651727
8.931981,3.0863361,1.8744481
5.8072824,4.8460546,1.8656822
9.9917345,6.3446364,2.173031
13.10263,4.1329117,1.3520335
10.74287,5.819428,2.2855089
9.841526,5.992314,2.7323563
8.147864,3.7364306,2.3099458
10.4261465,3.4349716,1.9452591
5.831901,4.063069,1.4094058
7.5600476,5.323116,2.6952512
11.913699,6.0459538,2.2484486
9.270454,3.8376935,2.343201
13.266164,5.5013266,1.8883134
10.947363,5.0262895,2.1093094
12.312706,6.1642814,2.3847299
8.413657,5.1872735,2.3116827
8.418444,5.0914707,2.433925
8.884112,5.287751,2.4561086
8.656413,3.8605814,1.0709933
6.421142,4.101378,2.3812013
8.494398,4.689076,2.0812368
10.10795,4.2314696,1.9559029
7.742373,5.0014153,2.367926
13.524194,4.991123,2.4993155
9.448577,4.507228,2.9539263
7.413482,2.7616143,1.4877719
12.623228,5.913224,2.3248389
10.4709425,4.183981,2.1137779
13.205217,5.2695537,2.3388
9.477594,4.354603,1.3851511
10.33978,2.5567942,1.4051381
10.942774,3.1962984,2.1752188
10.84804,4.0141287,1.9070156
10.6166935,4.8479247,1.2545648
7.714915,3.0726697,1.209899
9.523806,3.8417659,1.5533705
8.955068,4.310825,2.5586517
6.889451,4.4965935,1.3379098
7.1456633,5.6633105,2.1447077
6.9242005,5.893641,1.938174
9.738757,6.482553,2.725673
11.100714,4.338252,2.078655
7.517655,5.0122037,1.5180637
7.852994,6.8211126,2.2486258
6.343672,2.463867,1.7772034
10.268074,6.46227,1.9434379
11.15153,4.619538,1.7788908
6.177167,4.747059,2.2639122
10.510401,3.8921983,2.1057951
9.329788,3.1662052,1.8723568
9.928071,4.34544,2.1799786
10.5616,6.59781,2.3869014
8.964445,5.7520366,1.3543376
7.3093257,4.465099,1.9604489
10.466157,5.20418,2.9877417
8.436251,5.786508,2.5026753
12.08242,5.4534106,2.2312818
7.181952,5.0562572,2.0291069
7.2976513,2.2768843,1.5750413
9.944085,6.118065,2.6736934
13.50852,4.942995,2.1240578
11.078192,4.2945595,2.8369322
7.101067,4.5309486,1.7028153
9.236569,6.2697773,2.2982516
7.210761,3.4937925,1.5225676
8.036234,5.1784267,2.5852904
9.584529,4.8627887,2.504202
7.095928,3.295026,2.2837443
12.050306,5.817863,1.2753674
7.4473777,3.576937,2.4685667
13.067306,2.649892,2.2972176
11.749719,3.3225546,1.3429964
14.339456,4.025038,2.2841125
7.565815,2.266709,2.0401008
9.681928,4.1947384,2.7383013
8.246691,4.855611,1.5329205
7.8504696,2.666599,1.8185587
10.73675,4.199095,1.7701808
11.388944,6.4450464,1.9183017
8.093176,2.3823702,1.9130144
12.50296,6.7767406,2.4345505
9.8002615,3.0265586,2.0340047
6.364402,4.8577905,2.0273147
12.449365,5.5166583,2.3925605
9.984037,4.6089244,1.4407074
6.258732,4.77994,2.1649938
10.940301,5.339758,2.4012015
11.742693,2.7203765,2.6252577
9.208555,4.0182548,1.747215
8.724153,3.9815958,2.616345
11.856008,4.091267,2.270165
6.85332,4.315374,1.3709021
10.468224,4.7379937,2.1983376
5.6587205,5.3855405,2.796342
7.795341,4.2334175,1.9592762
11.872276,3.0038154,1.8124593
9.739244,2.5868673,1.5568793
9.415804,4.6856527,1.8484138
10.991139,3.849032,1.1063612
11.408024,6.197217,1.9632071
5.9756722,3.5154366,1.6446105
9.830937,6.3655443,2.3779385
8.128816,5.411381,1.245033
7.9693856,6.40183,1.8909893
9.654536,4.4980173,1.8431216
10.427769,5.6855383,1.930313
5.6356387,5.2869453,1.2066826
9.865135,2.842484,1.4254332
9.756874,5.5141873,2.237552
6.0799685,4.0368977,1.7496511
12.49426,4.6147633,1.2453778
10.560327,6.066352,2.245117
10.936911,3.6779675,2.3807654
9.089153,3.9665575,1.1314211
10.347995,4.0715966,2.0454254
7.124139,3.6925268,1.4973758
9.303358,5.4475327,1.3180736
6.5895767,5.047754,1.2557465
10.433264,3.5395486,1.3035963
9.363331,4.909974,2.4717495
8.03884,4.192029,2.356822
9.997934,5.7406807,2.3704913
12.166591,5.310941,1.6510564
10.230872,3.9389596,2.4701986
9.04774,5.9392757,2.6632667
10.480223,6.6024494,1.3019745
11.805619,4.3040357,2.5771725
12.121579,5.436147,2.279904
11.591121,4.023592,1.3151782
10.05994,3.6388664,1.4863389
6.4330826,4.0694814,1.9668233
10.459212,4.1514425,1.3621299
13.162548,3.1476054,1.2645069
8.000739,5.179952,1.9138675
5.8070965,3.0718646,2.672923
11.278214,6.196029,1.7567477
10.235734,6.7270427,2.3209732
11.358328,6.9931464,2.3408117
7.652517,5.7863016,1.5261558
10.239286,3.2643225,2.0333285
11.190703,5.0927486,2.2592943
9.04486,5.532349,1.3494165
9.989564,6.0298276,2.209653
11.499604,3.2170458,1.7931526
9.15182,5.8469076,2.6680639
12.589836,4.016633,2.7386048
9.203026,6.0243053,2.5607426
12.802786,3.9919763,2.9059205
12.873842,5.440139,2.030443
10.635148,4.458471,2.6284127
14.551212,3.008562,2.1358542
10.063627,5.352012,1.9188031
11.430405,2.7556891,2.7807164
7.3088818,3.367999,1.2499135
14.876675,5.3950377,2.0927203
11.405788,5.8395967,2.4058254
